method,recall_at_12,hit_rate_at_12,map_at_12,num_leaves,min_child_samples,reg_lambda,learning_rate,best_iteration
leaves31,0.05620874461697517,0.1081,0.026760408249288326,31,50,1.0,0.05,40
Variant rule,0.05792861865521763,0.1123,0.02598148831140196,,,,,
leaves31_regularized,0.0551217606929185,0.1086,0.025694188011062987,31,200,10.0,0.05,49
leaves7,0.054983216526494995,0.1067,0.025617400096616512,7,50,1.0,0.05,116
leaves15,0.055760352741392856,0.1101,0.0255599638664005,15,50,1.0,0.05,94
leaves15_slow,0.05523087091126862,0.1066,0.02539938377695731,15,100,5.0,0.03,180
LightGBM v6,0.05530000069148199,0.1073,0.02532590211067586,,,,,
leaves31_slow,0.05166812616707178,0.0989,0.024685359440493316,31,100,5.0,0.03,31
leaves15_regularized,0.054479699698930246,0.1074,0.024684122356189123,15,200,10.0,0.05,58
leaves7_regularized,0.054252541916081296,0.1091,0.02458854057309328,7,200,10.0,0.05,2
